 09-Mar-2015       (1.000 *bamlet_100pc.da - 1.019 *buffer_100pc.da) /  1.0000
bamlet_100pc  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  306  SCALE =  1
 r_100pc.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  306  SCALE =  1
  0.909052E-02  0.309325E+00  0.410250E-02
  0.988097E-02  0.296398E+00  0.276601E-02
  0.106714E-01  0.280117E+00  0.210358E-02
  0.114618E-01  0.266111E+00  0.193343E-02
  0.122522E-01  0.254500E+00  0.174998E-02
  0.130427E-01  0.248317E+00  0.173683E-02
  0.138330E-01  0.241167E+00  0.166655E-02
  0.146234E-01  0.234503E+00  0.169065E-02
  0.154138E-01  0.229379E+00  0.154344E-02
  0.162042E-01  0.224867E+00  0.149207E-02
  0.169945E-01  0.219577E+00  0.141481E-02
  0.177848E-01  0.217201E+00  0.132618E-02
  0.185751E-01  0.212914E+00  0.127833E-02
  0.193654E-01  0.210761E+00  0.127220E-02
  0.201557E-01  0.207105E+00  0.124471E-02
  0.209460E-01  0.205799E+00  0.123559E-02
  0.217362E-01  0.203653E+00  0.122580E-02
  0.225264E-01  0.200886E+00  0.122098E-02
  0.233166E-01  0.197272E+00  0.116226E-02
  0.241068E-01  0.195306E+00  0.108245E-02
  0.248970E-01  0.193137E+00  0.112238E-02
  0.256871E-01  0.191995E+00  0.109501E-02
  0.264772E-01  0.191410E+00  0.101062E-02
  0.272673E-01  0.187867E+00  0.104270E-02
  0.280574E-01  0.186836E+00  0.993421E-03
  0.288474E-01  0.185619E+00  0.100781E-02
  0.296374E-01  0.183031E+00  0.979355E-03
  0.304274E-01  0.181754E+00  0.103201E-02
  0.312174E-01  0.181395E+00  0.105432E-02
  0.320073E-01  0.179168E+00  0.102080E-02
  0.327972E-01  0.179570E+00  0.104191E-02
  0.335871E-01  0.178071E+00  0.101636E-02
  0.343769E-01  0.175156E+00  0.102657E-02
  0.351667E-01  0.173972E+00  0.955044E-03
  0.359565E-01  0.173043E+00  0.942058E-03
  0.367463E-01  0.171157E+00  0.997303E-03
  0.375360E-01  0.169419E+00  0.982405E-03
  0.383257E-01  0.168144E+00  0.961317E-03
  0.391153E-01  0.168246E+00  0.949014E-03
  0.399049E-01  0.165197E+00  0.955525E-03
  0.406945E-01  0.164914E+00  0.938050E-03
  0.414841E-01  0.163871E+00  0.964355E-03
  0.422736E-01  0.164222E+00  0.933470E-03
  0.430631E-01  0.162112E+00  0.893136E-03
  0.438525E-01  0.160398E+00  0.893655E-03
  0.446419E-01  0.159227E+00  0.880259E-03
  0.454312E-01  0.157457E+00  0.916394E-03
  0.462205E-01  0.155206E+00  0.871277E-03
  0.470098E-01  0.153634E+00  0.837956E-03
  0.477990E-01  0.151335E+00  0.848115E-03
  0.485882E-01  0.151001E+00  0.828574E-03
  0.493774E-01  0.149799E+00  0.878921E-03
  0.501665E-01  0.148848E+00  0.871506E-03
  0.509555E-01  0.147883E+00  0.872660E-03
  0.517446E-01  0.145307E+00  0.830455E-03
  0.525335E-01  0.144679E+00  0.827834E-03
  0.533224E-01  0.143177E+00  0.825998E-03
  0.541113E-01  0.141166E+00  0.829414E-03
  0.549001E-01  0.138611E+00  0.841312E-03
  0.556889E-01  0.138281E+00  0.829320E-03
  0.564776E-01  0.136645E+00  0.812928E-03
  0.572663E-01  0.134460E+00  0.831690E-03
  0.580549E-01  0.133049E+00  0.767391E-03
  0.588435E-01  0.131211E+00  0.774918E-03
  0.596320E-01  0.131597E+00  0.789476E-03
  0.604205E-01  0.130228E+00  0.774245E-03
  0.612089E-01  0.129053E+00  0.764794E-03
  0.619973E-01  0.126899E+00  0.752839E-03
  0.627856E-01  0.125936E+00  0.773606E-03
  0.635738E-01  0.124339E+00  0.748572E-03
  0.643620E-01  0.122492E+00  0.756691E-03
  0.651502E-01  0.120208E+00  0.756324E-03
  0.659382E-01  0.119245E+00  0.727574E-03
  0.667263E-01  0.117617E+00  0.748843E-03
  0.675142E-01  0.115061E+00  0.722163E-03
  0.683021E-01  0.115270E+00  0.700101E-03
  0.690900E-01  0.113377E+00  0.711044E-03
  0.698777E-01  0.111448E+00  0.757173E-03
  0.706655E-01  0.110210E+00  0.698238E-03
  0.714531E-01  0.108369E+00  0.695561E-03
  0.722407E-01  0.107015E+00  0.697554E-03
  0.730282E-01  0.105229E+00  0.703535E-03
  0.738157E-01  0.104885E+00  0.690044E-03
  0.746031E-01  0.103511E+00  0.677406E-03
  0.753904E-01  0.102405E+00  0.683900E-03
  0.761777E-01  0.101006E+00  0.710978E-03
  0.769649E-01  0.992109E-01  0.764817E-03
  0.777520E-01  0.981585E-01  0.801763E-03
  0.785391E-01  0.964973E-01  0.800762E-03
  0.793261E-01  0.944782E-01  0.810613E-03
  0.801130E-01  0.935801E-01  0.839672E-03
  0.808998E-01  0.917846E-01  0.822008E-03
  0.816866E-01  0.906738E-01  0.793714E-03
  0.824733E-01  0.900300E-01  0.796646E-03
  0.832600E-01  0.890889E-01  0.819230E-03
  0.840465E-01  0.868239E-01  0.844206E-03
  0.848330E-01  0.853577E-01  0.846628E-03
  0.856194E-01  0.840724E-01  0.855882E-03
  0.864058E-01  0.832318E-01  0.827282E-03
  0.871920E-01  0.818386E-01  0.811650E-03
  0.879782E-01  0.795184E-01  0.838108E-03
  0.887643E-01  0.789738E-01  0.840114E-03
  0.895503E-01  0.776121E-01  0.820011E-03
  0.903363E-01  0.767432E-01  0.840833E-03
  0.911221E-01  0.758101E-01  0.819599E-03
  0.919079E-01  0.740504E-01  0.815025E-03
  0.926936E-01  0.724111E-01  0.818208E-03
  0.934793E-01  0.709404E-01  0.817565E-03
  0.942648E-01  0.669796E-01  0.599149E-02
  0.950503E-01  0.668068E-01  0.152607E-02
  0.958356E-01  0.657372E-01  0.106746E-02
  0.966209E-01  0.655525E-01  0.884259E-03
  0.974061E-01  0.652411E-01  0.789834E-03
  0.981913E-01  0.639157E-01  0.737789E-03
  0.989763E-01  0.633317E-01  0.717183E-03
  0.997612E-01  0.625262E-01  0.708977E-03
  0.100546E+00  0.613026E-01  0.707965E-03
  0.101331E+00  0.602073E-01  0.714539E-03
  0.102116E+00  0.590603E-01  0.712056E-03
  0.102900E+00  0.580321E-01  0.700961E-03
  0.103685E+00  0.571875E-01  0.689765E-03
  0.104469E+00  0.556660E-01  0.709428E-03
  0.105253E+00  0.550723E-01  0.680300E-03
  0.106038E+00  0.546949E-01  0.673629E-03
  0.106822E+00  0.533879E-01  0.666288E-03
  0.107606E+00  0.521944E-01  0.673174E-03
  0.108390E+00  0.508791E-01  0.681155E-03
  0.109174E+00  0.500983E-01  0.684302E-03
  0.109957E+00  0.491919E-01  0.682076E-03
  0.110741E+00  0.481267E-01  0.674491E-03
  0.111525E+00  0.472387E-01  0.675271E-03
  0.112308E+00  0.468012E-01  0.666944E-03
  0.113091E+00  0.454798E-01  0.667833E-03
  0.113875E+00  0.446108E-01  0.653441E-03
  0.114658E+00  0.433379E-01  0.642218E-03
  0.115441E+00  0.426323E-01  0.635443E-03
  0.116224E+00  0.422148E-01  0.633827E-03
  0.117007E+00  0.418556E-01  0.625709E-03
  0.117789E+00  0.407224E-01  0.626766E-03
  0.118572E+00  0.395629E-01  0.623633E-03
  0.119355E+00  0.387873E-01  0.631616E-03
  0.120137E+00  0.383149E-01  0.626150E-03
  0.120919E+00  0.373493E-01  0.651940E-03
  0.121702E+00  0.361225E-01  0.675154E-03
  0.122484E+00  0.356854E-01  0.674538E-03
  0.123266E+00  0.347205E-01  0.693134E-03
  0.124048E+00  0.348707E-01  0.700883E-03
  0.124829E+00  0.339110E-01  0.710895E-03
  0.125611E+00  0.324799E-01  0.739900E-03
  0.126393E+00  0.321318E-01  0.739504E-03
  0.127174E+00  0.313421E-01  0.738094E-03
  0.127956E+00  0.305745E-01  0.730333E-03
  0.128737E+00  0.298722E-01  0.717712E-03
  0.129518E+00  0.294784E-01  0.728789E-03
  0.130299E+00  0.288708E-01  0.816064E-03
  0.131080E+00  0.277521E-01  0.801221E-03
  0.131861E+00  0.267335E-01  0.839626E-03
  0.132641E+00  0.271152E-01  0.801792E-03
  0.133422E+00  0.278679E-01  0.612276E-03
  0.134202E+00  0.275811E-01  0.494353E-03
  0.134292E+00  0.257712E-01  0.398184E-03
  0.138265E+00  0.231568E-01  0.403590E-03
  0.142234E+00  0.203459E-01  0.400832E-03
  0.146201E+00  0.182832E-01  0.365349E-03
  0.150164E+00  0.160911E-01  0.362625E-03
  0.154124E+00  0.142672E-01  0.384263E-03
  0.158081E+00  0.116298E-01  0.377298E-03
  0.162033E+00  0.107565E-01  0.383842E-03
  0.165983E+00  0.929698E-02  0.385925E-03
  0.169928E+00  0.816747E-02  0.393861E-03
  0.173870E+00  0.755156E-02  0.373542E-03
  0.177808E+00  0.654916E-02  0.366174E-03
  0.181742E+00  0.561231E-02  0.382049E-03
  0.185672E+00  0.462003E-02  0.354654E-03
  0.189597E+00  0.426770E-02  0.361239E-03
  0.193519E+00  0.348347E-02  0.348691E-03
  0.197436E+00  0.201135E-02  0.363596E-03
  0.201349E+00  0.200768E-02  0.358100E-03
  0.205257E+00  0.211571E-02  0.350018E-03
  0.209161E+00  0.210435E-02  0.353908E-03
  0.213061E+00  0.141598E-02  0.352560E-03
  0.216955E+00  0.116713E-02  0.348969E-03
  0.220845E+00  0.139216E-02  0.356990E-03
  0.224730E+00  0.113441E-02  0.333469E-03
  0.228610E+00  0.744337E-03  0.334995E-03
  0.232486E+00  0.700048E-03  0.338480E-03
  0.236356E+00  0.852584E-03  0.347983E-03
  0.240221E+00  0.278058E-03  0.335238E-03
  0.244080E+00  0.349594E-03  0.328021E-03
  0.247935E+00  0.502421E-03  0.338356E-03
  0.251784E+00  0.974931E-04  0.329240E-03
  0.255628E+00  0.300377E-03  0.328256E-03
  0.259466E+00  0.311988E-03  0.332371E-03
  0.263299E+00  0.344273E-03  0.325445E-03
  0.267126E+00 -0.303844E-04  0.327560E-03
  0.270948E+00 -0.232160E-05  0.337285E-03
  0.274763E+00 -0.650434E-04  0.319698E-03
  0.278573E+00  0.188243E-03  0.311924E-03
  0.282377E+00  0.231282E-03  0.333852E-03
  0.286175E+00 -0.135283E-03  0.322242E-03
  0.289967E+00 -0.205017E-03  0.321773E-03
  0.293753E+00 -0.378425E-03  0.316289E-03
  0.297533E+00  0.192441E-03  0.309545E-03
