 18-Sep-2016       (1.000 *bam1o20_0p25mg_ - 1.001 *bam1o20_buffer_) /  1.0000
bam1o20_0p25  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.113375E-01  0.327055E-01  0.866961E-02
  0.120690E-01  0.283516E-01  0.493389E-02
  0.128004E-01  0.310230E-01  0.406826E-02
  0.135319E-01  0.299349E-01  0.359019E-02
  0.142633E-01  0.301026E-01  0.330989E-02
  0.149948E-01  0.264026E-01  0.299353E-02
  0.157262E-01  0.286634E-01  0.274690E-02
  0.164577E-01  0.294767E-01  0.267874E-02
  0.171891E-01  0.286424E-01  0.262873E-02
  0.179206E-01  0.280425E-01  0.250363E-02
  0.186520E-01  0.274858E-01  0.234496E-02
  0.193835E-01  0.268115E-01  0.229635E-02
  0.201149E-01  0.269747E-01  0.217923E-02
  0.208464E-01  0.262436E-01  0.222024E-02
  0.215778E-01  0.278922E-01  0.211703E-02
  0.223093E-01  0.255977E-01  0.209022E-02
  0.230407E-01  0.292348E-01  0.204710E-02
  0.237721E-01  0.245967E-01  0.208420E-02
  0.245036E-01  0.280482E-01  0.198496E-02
  0.252350E-01  0.262155E-01  0.193873E-02
  0.259665E-01  0.268485E-01  0.192573E-02
  0.266979E-01  0.236914E-01  0.187033E-02
  0.274293E-01  0.255493E-01  0.194000E-02
  0.281608E-01  0.254573E-01  0.179774E-02
  0.288922E-01  0.235886E-01  0.177728E-02
  0.296237E-01  0.242935E-01  0.181793E-02
  0.303551E-01  0.216937E-01  0.175287E-02
  0.310865E-01  0.218347E-01  0.176242E-02
  0.318180E-01  0.235527E-01  0.172897E-02
  0.325494E-01  0.215939E-01  0.186713E-02
  0.332808E-01  0.234699E-01  0.169322E-02
  0.340123E-01  0.233271E-01  0.155585E-02
  0.347437E-01  0.233431E-01  0.162011E-02
  0.354751E-01  0.216229E-01  0.159147E-02
  0.362065E-01  0.219332E-01  0.155534E-02
  0.369380E-01  0.210312E-01  0.159111E-02
  0.376694E-01  0.213313E-01  0.150275E-02
  0.384008E-01  0.222823E-01  0.152935E-02
  0.391322E-01  0.199909E-01  0.151338E-02
  0.398636E-01  0.206347E-01  0.147295E-02
  0.405951E-01  0.186310E-01  0.149982E-02
  0.413265E-01  0.192065E-01  0.144000E-02
  0.420579E-01  0.193400E-01  0.145816E-02
  0.427893E-01  0.176565E-01  0.144001E-02
  0.435207E-01  0.166770E-01  0.138864E-02
  0.442521E-01  0.172636E-01  0.142546E-02
  0.449836E-01  0.172001E-01  0.140617E-02
  0.457150E-01  0.177385E-01  0.140966E-02
  0.464464E-01  0.193736E-01  0.133487E-02
  0.471778E-01  0.173731E-01  0.135578E-02
  0.479092E-01  0.172377E-01  0.134052E-02
  0.486406E-01  0.165734E-01  0.134681E-02
  0.493720E-01  0.165641E-01  0.132132E-02
  0.501034E-01  0.166174E-01  0.128848E-02
  0.508348E-01  0.166080E-01  0.131810E-02
  0.515662E-01  0.158634E-01  0.132179E-02
  0.522976E-01  0.162476E-01  0.128878E-02
  0.530290E-01  0.148358E-01  0.129740E-02
  0.537604E-01  0.152610E-01  0.132744E-02
  0.544917E-01  0.147646E-01  0.132188E-02
  0.552231E-01  0.149329E-01  0.133787E-02
  0.559545E-01  0.129961E-01  0.137350E-02
  0.566859E-01  0.140622E-01  0.136529E-02
  0.574173E-01  0.127522E-01  0.145280E-02
  0.581487E-01  0.145099E-01  0.139654E-02
  0.588800E-01  0.129003E-01  0.144019E-02
  0.596114E-01  0.129824E-01  0.139666E-02
  0.603428E-01  0.123679E-01  0.139067E-02
  0.610742E-01  0.117195E-01  0.142010E-02
  0.618055E-01  0.110178E-01  0.137398E-02
  0.625369E-01  0.106517E-01  0.136081E-02
  0.632683E-01  0.110046E-01  0.135555E-02
  0.639996E-01  0.104225E-01  0.133785E-02
  0.647310E-01  0.113402E-01  0.134794E-02
  0.654624E-01  0.926795E-02  0.128565E-02
  0.661937E-01  0.908838E-02  0.128607E-02
  0.669251E-01  0.101159E-01  0.122262E-02
  0.676564E-01  0.855453E-02  0.122726E-02
  0.683878E-01  0.958690E-02  0.119362E-02
  0.691191E-01  0.883999E-02  0.118547E-02
  0.698505E-01  0.845257E-02  0.118627E-02
  0.705818E-01  0.806278E-02  0.118853E-02
  0.713132E-01  0.869312E-02  0.116140E-02
  0.720445E-01  0.864934E-02  0.116749E-02
  0.727759E-01  0.803693E-02  0.115998E-02
  0.735072E-01  0.756809E-02  0.112734E-02
  0.742385E-01  0.773055E-02  0.110787E-02
  0.749699E-01  0.676182E-02  0.112325E-02
  0.757012E-01  0.663234E-02  0.109857E-02
  0.764325E-01  0.647572E-02  0.110059E-02
  0.771638E-01  0.716062E-02  0.108245E-02
  0.778952E-01  0.644759E-02  0.105386E-02
  0.786265E-01  0.574123E-02  0.105771E-02
  0.793578E-01  0.589081E-02  0.104132E-02
  0.800891E-01  0.476532E-02  0.105074E-02
  0.808204E-01  0.485210E-02  0.103494E-02
  0.815517E-01  0.494330E-02  0.102977E-02
  0.822830E-01  0.494681E-02  0.103112E-02
  0.830143E-01  0.440559E-02  0.102661E-02
  0.837456E-01  0.487798E-02  0.100750E-02
  0.844769E-01  0.496910E-02  0.994538E-03
  0.852082E-01  0.376168E-02  0.101373E-02
  0.859395E-01  0.424192E-02  0.100116E-02
  0.866708E-01  0.408400E-02  0.100827E-02
  0.874021E-01  0.347701E-02  0.100156E-02
  0.881334E-01  0.374004E-02  0.973734E-03
  0.888647E-01  0.455691E-02  0.100083E-02
  0.895959E-01  0.264904E-02  0.995449E-03
  0.903272E-01  0.366616E-02  0.984026E-03
  0.910585E-01  0.381469E-02  0.100087E-02
  0.917897E-01  0.289559E-02  0.985499E-03
  0.925210E-01  0.281174E-02  0.101468E-02
  0.932523E-01  0.330471E-02  0.991427E-03
  0.939835E-01  0.170279E-02  0.999596E-03
  0.947148E-01  0.296900E-02  0.101982E-02
  0.954460E-01  0.292690E-02  0.100689E-02
  0.961773E-01  0.317054E-02  0.102078E-02
