 18-Sep-2016       (1.000 *bam1o20_0p5mg_a - 1.003 *bam1o20_buffer_) /  1.0000
bam1o20_0p5m  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.113375E-01  0.606340E-01  0.880081E-02
  0.120690E-01  0.554606E-01  0.511535E-02
  0.128004E-01  0.598497E-01  0.424511E-02
  0.135319E-01  0.562373E-01  0.372828E-02
  0.142633E-01  0.553444E-01  0.341667E-02
  0.149948E-01  0.554309E-01  0.314794E-02
  0.157262E-01  0.547433E-01  0.284923E-02
  0.164577E-01  0.559563E-01  0.277528E-02
  0.171891E-01  0.544482E-01  0.270052E-02
  0.179206E-01  0.557172E-01  0.262509E-02
  0.186520E-01  0.543820E-01  0.243100E-02
  0.193835E-01  0.538727E-01  0.241312E-02
  0.201149E-01  0.540185E-01  0.226659E-02
  0.208464E-01  0.498498E-01  0.232338E-02
  0.215778E-01  0.540388E-01  0.219500E-02
  0.223093E-01  0.523336E-01  0.218422E-02
  0.230407E-01  0.542967E-01  0.216186E-02
  0.237721E-01  0.493509E-01  0.215074E-02
  0.245036E-01  0.529600E-01  0.205431E-02
  0.252350E-01  0.489716E-01  0.202539E-02
  0.259665E-01  0.507717E-01  0.203762E-02
  0.266979E-01  0.491185E-01  0.193711E-02
  0.274293E-01  0.495907E-01  0.202349E-02
  0.281608E-01  0.501822E-01  0.185133E-02
  0.288922E-01  0.469976E-01  0.185061E-02
  0.296237E-01  0.478919E-01  0.188702E-02
  0.303551E-01  0.461049E-01  0.181441E-02
  0.310865E-01  0.446180E-01  0.182302E-02
  0.318180E-01  0.462187E-01  0.182487E-02
  0.325494E-01  0.438374E-01  0.194881E-02
  0.332808E-01  0.440893E-01  0.174954E-02
  0.340123E-01  0.452237E-01  0.161535E-02
  0.347437E-01  0.435784E-01  0.165900E-02
  0.354751E-01  0.432661E-01  0.163519E-02
  0.362065E-01  0.431163E-01  0.161460E-02
  0.369380E-01  0.419383E-01  0.164615E-02
  0.376694E-01  0.408347E-01  0.156172E-02
  0.384008E-01  0.408642E-01  0.159931E-02
  0.391322E-01  0.398313E-01  0.157606E-02
  0.398636E-01  0.401472E-01  0.152445E-02
  0.405951E-01  0.381559E-01  0.154662E-02
  0.413265E-01  0.380345E-01  0.148087E-02
  0.420579E-01  0.380788E-01  0.151408E-02
  0.427893E-01  0.359229E-01  0.147924E-02
  0.435207E-01  0.361157E-01  0.145888E-02
  0.442521E-01  0.349576E-01  0.148245E-02
  0.449836E-01  0.347550E-01  0.145825E-02
  0.457150E-01  0.345162E-01  0.145143E-02
  0.464464E-01  0.362478E-01  0.137314E-02
  0.471778E-01  0.338328E-01  0.140439E-02
  0.479092E-01  0.335633E-01  0.137873E-02
  0.486406E-01  0.315217E-01  0.137164E-02
  0.493720E-01  0.322584E-01  0.135115E-02
  0.501034E-01  0.311858E-01  0.132189E-02
  0.508348E-01  0.303200E-01  0.135580E-02
  0.515662E-01  0.304543E-01  0.135245E-02
  0.522976E-01  0.295794E-01  0.132513E-02
  0.530290E-01  0.286728E-01  0.133253E-02
  0.537604E-01  0.283877E-01  0.135226E-02
  0.544917E-01  0.279837E-01  0.134493E-02
  0.552231E-01  0.263125E-01  0.138637E-02
  0.559545E-01  0.264120E-01  0.140486E-02
  0.566859E-01  0.245030E-01  0.138968E-02
