 18-Sep-2016       (1.000 *bam1o20_2mg_avg - 1.012 *bam1o20_buffer_) /  1.0000
bam1o20_2mg_  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
 fer_avg.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 =  843  SCALE =  1
  0.113375E-01  0.209267E+00  0.100374E-01
  0.120690E-01  0.205983E+00  0.609318E-02
  0.128004E-01  0.205590E+00  0.510290E-02
  0.135319E-01  0.202040E+00  0.430863E-02
  0.142633E-01  0.201025E+00  0.395823E-02
  0.149948E-01  0.198970E+00  0.370362E-02
  0.157262E-01  0.197707E+00  0.336921E-02
  0.164577E-01  0.199116E+00  0.332767E-02
  0.171891E-01  0.197121E+00  0.323663E-02
  0.179206E-01  0.196408E+00  0.306949E-02
  0.186520E-01  0.196385E+00  0.296397E-02
  0.193835E-01  0.192455E+00  0.283605E-02
  0.201149E-01  0.192590E+00  0.271635E-02
  0.208464E-01  0.190518E+00  0.278883E-02
  0.215778E-01  0.192437E+00  0.268638E-02
  0.223093E-01  0.188161E+00  0.260124E-02
  0.230407E-01  0.187125E+00  0.252110E-02
  0.237721E-01  0.183949E+00  0.252114E-02
  0.245036E-01  0.186723E+00  0.246942E-02
  0.252350E-01  0.183646E+00  0.240419E-02
  0.259665E-01  0.183050E+00  0.240640E-02
  0.266979E-01  0.180956E+00  0.231229E-02
  0.274293E-01  0.178928E+00  0.237137E-02
  0.281608E-01  0.179239E+00  0.225087E-02
  0.288922E-01  0.173956E+00  0.220351E-02
  0.296237E-01  0.174041E+00  0.220793E-02
  0.303551E-01  0.171031E+00  0.219122E-02
  0.310865E-01  0.170426E+00  0.212304E-02
  0.318180E-01  0.168755E+00  0.211548E-02
  0.325494E-01  0.164694E+00  0.231446E-02
  0.332808E-01  0.166837E+00  0.204459E-02
  0.340123E-01  0.163719E+00  0.192401E-02
  0.347437E-01  0.164480E+00  0.199951E-02
  0.354751E-01  0.160548E+00  0.193476E-02
  0.362065E-01  0.159242E+00  0.192046E-02
  0.369380E-01  0.156834E+00  0.192718E-02
  0.376694E-01  0.153822E+00  0.182463E-02
  0.384008E-01  0.150906E+00  0.187105E-02
  0.391322E-01  0.151475E+00  0.183279E-02
  0.398636E-01  0.147001E+00  0.177950E-02
  0.405951E-01  0.143361E+00  0.180776E-02
  0.413265E-01  0.143833E+00  0.172321E-02
  0.420579E-01  0.142565E+00  0.174889E-02
  0.427893E-01  0.139212E+00  0.171090E-02
  0.435207E-01  0.136015E+00  0.168764E-02
  0.442521E-01  0.134442E+00  0.173638E-02
  0.449836E-01  0.131043E+00  0.166720E-02
  0.457150E-01  0.129818E+00  0.165371E-02
  0.464464E-01  0.129215E+00  0.158417E-02
  0.471778E-01  0.125905E+00  0.160671E-02
  0.479092E-01  0.123518E+00  0.157167E-02
  0.486406E-01  0.120890E+00  0.156631E-02
  0.493720E-01  0.118317E+00  0.154204E-02
  0.501034E-01  0.116811E+00  0.151690E-02
