# Inter-subunit 1-3 composite scattering function
#     q           I(q)         sigma(I(q))
   0.01026     2.87159E-02     9.54805E-14
   0.01349     2.79111E-02     9.14581E-13
   0.01673     2.77171E-02     2.25134E-12
   0.01781     2.77624E-02     1.49943E-12
   0.02213     2.64206E-02     1.95046E-12
   0.02321     2.60433E-02     7.55751E-13
   0.02429     2.58915E-02     4.76318E-12
   0.02644     2.51732E-02     1.53855E-12
   0.02968     2.46326E-02     9.68598E-13
   0.03076     2.41736E-02     2.12208E-12
   0.03184     2.42346E-02     2.91641E-13
   0.03399     2.30324E-02     6.17823E-14
   0.03507     2.28067E-02     1.82395E-12
   0.03615     2.24249E-02     2.03685E-12
   0.03723     2.19923E-02     1.56801E-12
   0.04154     2.03341E-02     9.59786E-13
   0.04801     1.82464E-02     6.12865E-12
   0.04908     1.75751E-02     2.86707E-12
   0.05016     1.73406E-02     4.10795E-13
   0.05069     1.71511E-02     6.84681E-12
   0.05124     1.68910E-02     4.11899E-12
   0.05231     1.64768E-02     1.51676E-12
   0.05339     1.60343E-02     2.57581E-12
   0.05447     1.55717E-02     5.10706E-12
   0.05554     1.53016E-02     4.21681E-12
   0.05662     1.47495E-02     6.45407E-12
   0.05877     1.43733E-02     1.60221E-12
   0.05878     1.42112E-02     5.12081E-12
   0.06307     1.26414E-02     1.05915E-11
   0.06415     1.22281E-02     1.23465E-12
   0.06738     1.11554E-02     9.46182E-12
   0.06952     1.05348E-02     1.13415E-11
   0.07091     1.01601E-02     2.97205E-11
   0.07167     9.98156E-03     4.56238E-12
   0.07275     9.49722E-03     3.34123E-12
   0.07490     8.96327E-03     9.09977E-13
   0.07704     8.25957E-03     3.84130E-12
   0.09107     5.41006E-03     1.83587E-11
   0.09510     4.77490E-03     7.33112E-12
   0.10310     3.79570E-03     1.64288E-11
   0.11120     2.97404E-03     5.33090E-12
   0.11520     2.68388E-03     6.43285E-12
   0.12720     2.05781E-03     5.92285E-11
   0.13120     1.91936E-03     2.30656E-11
   0.13910     1.57642E-03     3.44899E-12
   0.15500     1.22974E-03     3.06908E-11
   0.16690     9.96416E-04     3.14624E-11
   0.17480     8.38030E-04     7.47522E-12
   0.18660     7.00637E-04     2.10277E-11
   0.19830     5.35680E-04     9.22074E-13
   0.20230     4.98515E-04     1.69578E-11
   0.21000     3.87605E-04     4.43961E-13
   0.21390     3.96473E-04     1.30252E-12
   0.21780     3.52123E-04     5.43612E-12
   0.22170     3.29826E-04     3.72506E-11
   0.22940     2.60465E-04     1.73806E-12
   0.23330     2.89424E-04     5.34981E-13
   0.23710     2.82678E-04     2.68849E-12
   0.24090     2.60797E-04     1.72006E-12
   0.24480     1.78363E-04     1.32333E-12
   0.26000     1.74332E-04     5.41310E-13
   0.26760     1.10372E-04     8.53481E-13
   0.27140     1.36217E-04     4.28787E-13
   0.27520     1.28834E-04     1.98523E-12
   0.28270     4.39164E-05     4.88685E-12
   0.29390     7.17363E-05     3.07792E-13
   0.31610    -1.12217E-05     2.61272E-12
   0.32350     5.66118E-05     1.11470E-12
   0.32710     4.25663E-06     1.00548E-11
   0.33800     3.89693E-05     2.28452E-13
   0.34530     5.99067E-05     1.48416E-12
   0.34890     1.93657E-05     1.23510E-14
   0.37030     5.33149E-05     1.59542E-12
   0.37730     2.80333E-05     1.78223E-13
   0.38440     3.80396E-05     8.81457E-13
   0.39140    -5.46733E-05     3.40896E-12
   0.39480    -3.65998E-05     1.40451E-12
   0.39830    -9.35575E-06     6.55955E-13
   0.40870     2.93558E-05     1.12073E-12
   0.41210     2.03234E-05     2.15347E-12
   0.42230     6.57992E-05     2.20238E-12
   0.42570    -5.98258E-06     9.80332E-13
   0.43250     4.00315E-05     1.17920E-12
   0.43920    -3.18072E-05     8.06735E-13
   0.44250     5.98353E-06     6.95305E-13
   0.44910     9.31140E-06     1.09596E-12
   0.46560     3.45866E-05     2.20544E-13
   0.47210     2.09098E-05     2.16994E-13
   0.47530    -5.11069E-05     2.33287E-13
