# Subunit-3 composite scattering function
#     q           I(q)         sigma(I(q))
   0.01026     2.87159E-02     1.20605E+03
   0.01134     2.85422E-02     4.44164E+02
   0.01241     2.85503E-02     1.79141E+02
   0.01349     2.79111E-02     1.24142E+03
   0.01457     2.82873E-02     2.97811E+03
   0.01565     2.82231E-02     1.73100E+03
   0.01673     2.77171E-02     1.91833E+03
   0.01781     2.77624E-02     2.82572E+03
   0.01889     2.72571E-02     1.51651E+03
   0.01997     2.69153E-02     3.75389E+03
   0.02105     2.66292E-02     9.87040E+02
   0.02213     2.64206E-02     4.38533E+03
   0.02321     2.60433E-02     9.35069E+02
   0.02429     2.58915E-02     3.44091E+03
   0.02536     2.56867E-02     1.92125E+03
   0.02644     2.51732E-02     1.57188E+03
   0.02752     2.53393E-02     4.73301E+03
   0.02860     2.49280E-02     2.34770E+03
   0.02968     2.46326E-02     1.39425E+03
   0.03076     2.41736E-02     3.79891E+03
   0.03184     2.42346E-02     3.13252E+03
   0.03292     2.33922E-02     2.88991E+03
   0.03399     2.30324E-02     1.52614E+03
   0.03507     2.28067E-02     1.76049E+03
   0.03615     2.24249E-02     4.15892E+03
   0.03723     2.19923E-02     2.51045E+03
   0.03831     2.15561E-02     4.32371E+03
   0.03939     2.11597E-02     8.75322E+03
   0.04046     2.09748E-02     4.06278E+03
   0.04154     2.03341E-02     2.50099E+03
   0.04259     2.00907E-02     3.37245E+03
   0.04262     2.01117E-02     3.01756E+03
   0.04370     1.96292E-02     9.34785E+03
   0.04477     1.91696E-02     5.90451E+03
   0.04585     1.87103E-02     1.88829E+03
   0.04664     1.85193E-02     6.70537E+03
   0.04693     1.83846E-02     7.67130E+03
   0.04801     1.82464E-02     5.87411E+03
   0.04908     1.75751E-02     1.02557E+04
   0.05016     1.73406E-02     1.45218E+03
   0.05069     1.71511E-02     1.04555E+04
   0.05124     1.68910E-02     9.36951E+03
   0.05231     1.64768E-02     5.47773E+03
   0.05339     1.60343E-02     7.82463E+03
   0.05447     1.55717E-02     1.70870E+04
   0.05474     1.55202E-02     1.61379E+04
   0.05554     1.53016E-02     9.71003E+03
   0.05662     1.47495E-02     1.56210E+04
   0.05770     1.44145E-02     1.16960E+04
   0.05877     1.43733E-02     7.70446E+03
   0.05878     1.42112E-02     1.38019E+04
   0.05985     1.36741E-02     2.05725E+04
   0.06092     1.35058E-02     1.03563E+04
   0.06200     1.29388E-02     2.09831E+04
   0.06283     1.27950E-02     2.02347E+04
   0.06307     1.26414E-02     1.63553E+04
   0.06415     1.22281E-02     6.92081E+03
   0.06523     1.19504E-02     7.23987E+03
   0.06630     1.14988E-02     5.39947E+03
   0.06687     1.13291E-02     3.05927E+04
   0.06738     1.11554E-02     1.30710E+04
   0.06845     1.07847E-02     1.44979E+04
   0.06952     1.05348E-02     1.66036E+04
   0.07060     1.01534E-02     9.47840E+03
   0.07091     1.01601E-02     3.35519E+04
   0.07167     9.98156E-03     8.44078E+03
   0.07275     9.49722E-03     9.22852E+03
   0.07382     9.26980E-03     8.55069E+03
   0.07490     8.96327E-03     6.79005E+03
   0.07495     9.06696E-03     1.59107E+04
   0.07597     8.68567E-03     2.20596E+03
   0.07704     8.25957E-03     6.83288E+03
   0.07812     8.02128E-03     4.85710E+03
   0.07898     8.05615E-03     1.97715E+04
   0.08302     7.09756E-03     4.62251E+04
   0.08705     6.23179E-03     3.34543E+04
   0.09107     5.41006E-03     4.02168E+04
   0.09510     4.77490E-03     2.91592E+04
   0.09912     4.15780E-03     3.28218E+04
   0.10310     3.79570E-03     5.02860E+04
   0.10720     3.39103E-03     5.81493E+04
   0.11120     2.97404E-03     4.78714E+04
   0.11520     2.68388E-03     5.09701E+04
   0.11920     2.42403E-03     2.95174E+04
   0.12320     2.18429E-03     2.37566E+04
   0.12720     2.05781E-03     4.47204E+04
   0.13120     1.91936E-03     3.60802E+04
   0.13520     1.75216E-03     4.80795E+04
   0.13910     1.57642E-03     2.59884E+04
   0.14310     1.46484E-03     1.84831E+04
   0.14710     1.37971E-03     3.54771E+04
   0.15110     1.30379E-03     4.30343E+04
   0.15500     1.22974E-03     3.17210E+04
   0.15900     1.13541E-03     1.55800E+04
   0.16300     1.03411E-03     2.35927E+04
   0.16690     9.96416E-04     3.34833E+04
   0.17090     8.98773E-04     3.46498E+04
   0.17480     8.38030E-04     2.16312E+04
   0.17870     7.51281E-04     2.77667E+04
   0.18270     7.62946E-04     2.09345E+04
   0.18660     7.00637E-04     1.82912E+04
   0.19050     6.32839E-04     1.78357E+04
   0.19440     6.21786E-04     1.76475E+04
   0.19830     5.35680E-04     2.27713E+04
   0.20230     4.98515E-04     2.73555E+04
   0.20610     4.95081E-04     1.52955E+04
   0.21000     3.87605E-04     1.68125E+04
   0.21390     3.96473E-04     8.67775E+03
   0.21780     3.52123E-04     1.09746E+04
   0.22170     3.29826E-04     2.95565E+04
   0.22550     3.92320E-04     1.44069E+04
   0.22940     2.60465E-04     1.51745E+04
   0.23330     2.89424E-04     1.18952E+04
   0.23710     2.82678E-04     6.48611E+03
   0.24090     2.60797E-04     1.54001E+04
   0.24480     1.78363E-04     3.97551E+03
   0.24860     1.00711E-04     3.13677E+03
   0.25240     1.43770E-04     5.67615E+03
   0.25620     1.64260E-04     7.44919E+03
   0.26000     1.74332E-04     1.53920E+04
   0.26380     1.76166E-04     3.31310E+03
   0.26760     1.10372E-04     1.61670E+03
   0.27140     1.36217E-04     4.80647E+03
   0.27520     1.28834E-04     1.99036E+04
   0.27890     8.25445E-05     2.37135E+03
   0.28270     4.39164E-05     1.11992E+04
   0.28640     6.78239E-05     4.21137E+03
   0.29020     6.78580E-05     4.93489E+03
   0.29390     7.17363E-05     2.84962E+03
   0.29760     9.68694E-05     1.74233E+03
   0.30130     4.54673E-05     4.24153E+03
   0.30500     4.40982E-05     2.97708E+03
   0.30870     3.65904E-05     3.42370E+03
   0.31240     5.91064E-05     3.14418E+03
   0.31610    -1.12217E-05     3.02580E+03
   0.31980     8.00552E-05     1.41441E+03
   0.32350     5.66118E-05     2.10813E+03
   0.32710     4.25663E-06     1.13880E+04
   0.33080     3.90057E-05     1.31447E+04
   0.33440     1.08846E-05     2.18870E+03
   0.33800     3.89693E-05     1.09787E+03
   0.34160     2.22086E-05     5.22989E+03
   0.34530     5.99067E-05     5.49733E+03
   0.34890     1.93657E-05     2.35076E+02
   0.35250    -3.44146E-05     8.64067E+03
   0.35600     2.68557E-05     4.57064E+03
   0.35960    -1.12729E-05     4.90266E+03
   0.36320    -1.76800E-05     1.31529E+03
   0.36670     1.89413E-05     3.82500E+03
   0.37030     5.33149E-05     2.21090E+03
   0.37380    -6.02161E-06     6.97515E+03
   0.37730     2.80333E-05     6.26562E+02
   0.38090    -2.43605E-05     2.65032E+03
   0.38440     3.80396E-05     2.66040E+03
   0.38790    -9.70168E-06     3.55909E+03
   0.39140    -5.46733E-05     4.93373E+03
   0.39480    -3.65998E-05     1.66697E+03
   0.39830    -9.35575E-06     9.32339E+02
   0.40180    -6.01892E-05     3.95601E+03
   0.40520     9.37948E-06     4.30964E+03
   0.40870     2.93558E-05     3.38511E+03
   0.41210     2.03234E-05     7.48512E+03
   0.41550    -2.38057E-05     1.20862E+04
   0.41890    -3.50937E-05     5.39846E+03
   0.42230     6.57992E-05     2.93361E+03
   0.42570    -5.98258E-06     1.61507E+03
   0.42910     1.49200E-05     6.74641E+03
   0.43250     4.00315E-05     1.28854E+03
   0.43580    -7.61970E-05     1.94954E+03
   0.43920    -3.18072E-05     1.74032E+03
